NUM;NAME;RAJD;DECJD;P0;DM;
# Generated 2015-09-02 using ATNF Pulsar Catalogue web form
# Used "Short csv without errors" output
# Conditions "DM > 0 && P0 > 0"
# Return fields Name, RaJD, DecJD, P0, DM
# Removed second line (units) from resulting output
# Changed "#" in first line to "NUM"
303;B0906-17;137.159092;-17.660464;0.401626;15.89;
304;B0906-49;137.148042;-49.218472;0.106755;180.37;
305;B0909-71;137.400000;-72.202333;1.362890;54.30;
306;J0912-3851;138.177917;-38.850833;1.526085;70.00;
307;J0919-6040;139.866125;-60.680667;1.216976;82.50;
308;B0917+63;140.308897;62.903864;1.567994;13.16;
309;B0919+06;140.558425;6.639806;0.430627;27.27;
310;J0922-4949;140.562337;-49.820022;0.950289;237.10;
311;J0922-52;140.500000;-52.000000;0.009680;122.40;
312;B0922-52;141.036208;-53.045611;0.746295;152.90;
313;B0923-58;141.129167;-58.235111;0.739501;57.40;
314;J0927+23;141.904167;23.783333;0.761886;23.00;
315;J0928+06;142.183333;6.233333;2.060400;50.00;
316;J0932-3217;143.163125;-32.287278;1.931627;102.10;
317;J0932-5327;143.095250;-53.453056;4.392159;122.00;
318;J0934-4154;143.742500;-41.905417;0.570409;113.79;
319;B0932-52;143.617917;-52.824222;1.444773;100.00;
320;J0940-5428;145.242583;-54.477944;0.087545;134.50;
321;J0941-39;145.408333;-39.683333;0.586778;78.20;
322;J0941-5244;145.421446;-52.734578;0.658558;157.94;
323;B0940-55;145.565958;-55.881194;0.664367;180.20;
324;B0941-56;145.726925;-56.962067;0.808127;159.74;
325;B0940+16;145.875417;16.526944;1.087418;20.32;
326;J0943+22;145.854167;22.933333;0.532913;25.10;
327;J0943+41;145.750000;41.150000;2.229489;21.00;
328;B0942-13;146.120650;-13.911564;0.570264;12.50;
329;J0945-4833;146.409392;-48.554028;0.331586;98.10;
330;B0943+10;146.531667;9.865278;1.097706;15.40;
331;J0947+27;146.841667;27.700000;0.851050;29.00;
332;J0949-6902;147.335696;-69.044889;0.640016;93.00;
333;B0950-38;148.071667;-38.652833;1.373815;167.00;
334;B0950+08;148.288790;7.926597;0.253065;2.96;
335;J0954-5430;148.525167;-54.514861;0.472834;200.30;
336;B0953-52;148.872917;-53.071306;0.862118;156.90;
